order_id,worker_id,service_time,delivery_cost,estimated_profit
60495,1952,17.0,2.24,12.76
6144,650,24.04193,3.43978,11.56022
47950,3363,16.07506,2.14863,12.85137
25636,1588,21.28625,2.56735,12.43265
57478,237,20.58536,2.73436,12.26564
9477,425,51.58345,9.25558,5.74442
22485,3369,42.20328,8.78965,6.21035
15700,3775,19.11281,0.56688,14.43312
60584,1269,23.54099,3.37345,11.62655
25697,405,36.16857,5.82211,9.17789
57449,1493,27.75011,2.36058,12.63942
41302,1829,36.29868,1.93247,13.06753
54448,1128,42.33674,5.8458,9.1542
19124,2513,37.52537,4.94092,10.05908
51282,1096,30.51442,4.02836,10.97164
22266,3127,30.35398,2.82037,12.17963
25641,708,17.49471,2.24265,12.75735
60550,481,28.07082,3.62152,11.37848
41639,3159,55.96979,9.68017,5.31983
47986,914,59.44586,8.89681,6.10319
54357,1089,30.04509,4.50608,10.49392
15689,1534,20.7734,3.34213,11.65787
63577,4204,31.09654,4.20308,10.79692
35068,579,32.25744,6.5234,8.4766
9541,2091,33.91198,3.65835,11.34165
63885,663,35.11504,5.48684,9.51316
31695,35,26.83589,2.07337,12.92663
6036,2503,56.0769,8.17294,6.82706
44672,673,31.61705,2.57842,12.42158
47883,3245,59.75792,10.36963,4.63037
35226,397,37.08104,5.2028,9.7972
38096,991,53.70205,9.5127,5.4873
6383,1999,55.92318,8.16819,6.83181
63850,766,18.74142,0.35578,14.64422
60529,2921,33.49884,5.31584,9.68416
9410,1628,27.33366,4.48396,10.51604
44930,1666,46.25633,7.23092,7.76908
38243,2152,28.78004,5.67701,9.32299
35115,1129,57.57526,8.82978,6.17022
3085,3346,18.86777,2.70303,12.29697
51334,2782,105.11694,21.3734,-6.3734
22138,2538,41.75741,3.58728,11.41272
9471,3653,33.72957,4.84857,10.15143
35067,640,42.07803,7.65987,7.34013
25425,826,62.65712,12.24388,2.75612
28605,1946,49.29725,8.82714,6.17286
12499,993,36.6025,5.13781,9.86219
31914,1472,64.90682,10.62992,4.37008
28614,3211,21.9265,2.25396,12.74604
35038,2270,72.00424,15.00821,-0.00821
41459,1157,48.37478,9.09023,5.90977
31700,3567,12.30145,1.85923,13.14077
28583,1339,50.19069,7.54227,7.45773
22328,63,35.93848,5.3562,9.6438
63569,168,21.44888,2.85029,12.14971
9311,248,60.21264,11.23406,3.76594
19104,2806,54.97969,10.46026,4.53974
22402,563,23.75411,3.6954,11.3046
25665,1161,34.56869,5.07158,9.92842
25479,2001,20.50999,1.59289,13.40711
