order_id,worker_id,service_time,delivery_cost,estimated_profit
60495,481.0,12.82861,1.26668,48.73332
6144,1952.0,20.7725,2.67692,47.32308
47950,3346.0,10.53905,0.85689,49.14311
25636,3211.0,16.0857,1.35389,48.64611
57478,1493.0,16.24342,1.72124,48.27876
9477,1129.0,36.61651,5.7633,44.2367
22485,650.0,26.04259,5.01883,44.98117
15700,991.0,18.60093,0.44744,49.55256
60584,2270.0,21.18449,2.8236,47.1764
25697,1666.0,17.25218,1.40829,48.59171
57449,640.0,26.04278,1.9622,48.0378
41302,1339.0,34.93646,1.61462,48.38538
54448,708.0,36.48068,4.47938,45.52062
19124,4204.0,30.50721,3.30335,46.69665
51282,563.0,19.07757,1.35977,48.64023
22266,425.0,21.53864,0.76346,49.23654
25641,35.0,14.33133,1.50453,48.49547
60550,914.0,23.05914,2.45213,47.54787
41639,3245.0,55.52131,9.57553,40.42447
47986,579.0,43.38411,5.14907,44.85093
54357,168.0,26.62146,3.70723,46.29277
15689,1157.0,16.81145,2.41767,47.58233
63577,3127.0,19.7598,1.55784,48.44216
35068,3363.0,20.90104,3.87358,46.12642
9541,3775.0,29.69382,2.67411,47.32589
63885,1829.0,32.86166,4.96105,45.03895
31695,1628.0,24.47926,1.52349,48.47651
6036,993.0,48.44802,6.39287,43.60713
44672,248.0,30.33956,2.28034,47.71966
47883,2806.0,52.50547,8.67739,41.32261
35226,2091.0,26.75883,2.79428,47.20572
38096,2001.0,50.75048,8.824,41.176
6383,1588.0,47.63468,6.2342,43.7658
63850,766.0,18.74142,0.35578,49.64422
60529,2538.0,28.18215,4.07528,45.92472
9410,2503.0,26.59474,4.31155,45.68845
44930,1534.0,42.25023,6.29616,43.70384
38243,1472.0,19.19061,3.43948,46.56052
35115,3653.0,40.57354,4.86271,45.13729
3085,237.0,15.81627,1.99102,48.00898
51334,663.0,101.02705,20.41909,29.58091
22138,63.0,42.38626,3.73402,46.26598
9471,2152.0,30.06983,3.99463,46.00537
35067,2782.0,39.91164,7.15438,42.84562
25425,2513.0,36.41771,6.12135,43.87865
28605,3567.0,45.95087,8.04632,41.95368
12499,1946.0,26.65883,2.81762,47.18238
31914,673.0,58.87235,9.22188,40.77812
28614,1269.0,27.66963,3.59402,46.40598
35038,1089.0,62.14447,12.7076,37.2924
41459,3369.0,32.99733,5.50215,44.49785
31700,1128.0,15.25204,2.5477,47.4523
28583,3159.0,33.74098,3.70401,46.29599
22328,2921.0,36.32854,5.44722,44.55278
63569,1999.0,24.7128,3.61188,46.38812
9311,397.0,47.68256,8.31038,41.68962
19104,1161.0,42.66349,7.58648,42.41352
22402,1096.0,29.67768,5.07757,44.92243
25665,405.0,43.94673,7.25979,42.74021
25479,826.0,42.36878,6.69327,43.30673
